Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2015/16

;;Flickor, inklusive okänd bakgrund;Flickor, inklusive okänd bakgrund;Flickor, inklusive okänd bakgrund;Flickor, inklusive okänd bakgrund;Flickor, inklusive okänd bakgrund;Flickor, exklusive okänd bakgrund;Flickor, exklusive okänd bakgrund;Flickor, exklusive okänd bakgrund;Pojkar, inklusive okänd bakgrund ;Pojkar, inklusive okänd bakgrund ;Pojkar, inklusive okänd bakgrund ;Pojkar, inklusive okänd bakgrund ;Pojkar, inklusive okänd bakgrund ;Pojkar, exklusive okänd bakgrund ;Pojkar, exklusive okänd bakgrund ;Pojkar, exklusive okänd bakgrund ;
Kommun;Typ av huvudman;Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);
Sunne;Kommunal;69;46,0;75,4;82,6;221,2;76,5;83,8;221,2;81;54,0;60,5;70,4;196,4;75,4;87,7;196,4;
Surahammar;Samtliga;53;49,5;79,2;88,7;226,3;79,2;88,7;226,3;54;50,5;64,8;81,5;193,2;64,8;81,5;193,2;
Surahammar;Kommunal;53;49,5;79,2;88,7;226,3;79,2;88,7;226,3;54;50,5;64,8;81,5;193,2;64,8;81,5;193,2;
Svalöv;Samtliga;60;39,5;88,3;~100;254,0;88,3;~100;254,0;92;60,5;56,5;81,5;181,2;56,5;81,5;181,2;
Svalöv;Kommunal;50;40,7;90,0;~100;259,1;90,0;~100;259,1;73;59,3;61,6;83,6;188,0;61,6;83,6;188,0;
Svalöv;Enskild;10;34,5;..;..;229,0;..;..;229,0;19;65,5;..;73,7;155,0;..;73,7;155,0;
Svedala;Samtliga;114;48,5;86,8;~100;241,3;86,8;~100;241,3;121;51,5;76,9;90,1;210,3;79,5;93,2;217,0;
Svedala;Kommunal;114;48,5;86,8;~100;241,3;86,8;~100;241,3;121;51,5;76,9;90,1;210,3;79,5;93,2;217,0;
Svenljunga;Samtliga;46;32,2;71,7;76,1;222,9;75,0;79,5;222,9;97;67,8;45,4;57,7;184,7;59,7;76,4;188,4;
Svenljunga;Kommunal;46;32,2;71,7;76,1;222,9;75,0;79,5;222,9;97;67,8;45,4;57,7;184,7;59,7;76,4;188,4;
Säffle;Samtliga;61;42,7;72,1;83,6;220,3;72,9;83,1;220,7;82;57,3;59,8;68,3;169,3;72,1;82,4;197,3;
Säffle;Kommunal;61;42,7;72,1;83,6;220,3;72,9;83,1;220,7;82;57,3;59,8;68,3;169,3;72,1;82,4;197,3;
Säter;Samtliga;40;38,1;80,0;85,0;220,5;82,1;87,2;225,6;65;61,9;63,1;73,8;183,7;70,7;82,8;198,1;
Säter;Kommunal;40;38,1;80,0;85,0;220,5;82,1;87,2;225,6;65;61,9;63,1;73,8;183,7;70,7;82,8;198,1;
Sävsjö;Samtliga;21;53,8;85,7;~100;240,1;85,7;~100;240,1;18;46,2;83,3;~100;230,0;82,4;~100;227,1;
Sävsjö;Kommunal;13;50,0;84,6;~100;235,4;84,6;~100;235,4;13;50,0;84,6;~100;242,7;83,3;~100;239,6;
Sävsjö;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Söderhamn;Samtliga;116;43,8;75,9;80,2;228,5;77,9;81,4;230,0;149;56,2;74,5;82,6;213,4;75,5;83,7;213,4;
Söderhamn;Kommunal;108;43,0;75,9;80,6;229,0;78,1;81,9;230,6;143;57,0;74,8;82,5;215,2;75,9;83,7;215,2;
Söderhamn;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Söderköping;Samtliga;79;45,9;93,7;~100;247,3;93,7;~100;247,3;93;54,1;65,6;69,9;217,0;82,4;87,8;222,6;
Söderköping;Kommunal;73;46,2;94,5;~100;249,1;94,5;~100;249,1;85;53,8;65,9;68,2;218,8;84,8;87,9;225,2;
Söderköping;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Södertälje;Samtliga;560;49,6;75,0;83,0;233,2;75,7;83,8;234,9;570;50,4;71,8;83,0;215,3;73,6;85,0;217,9;
Södertälje;Kommunal;433;49,2;71,4;80,6;227,6;72,2;81,6;229,7;447;50,8;69,1;80,3;209,1;71,4;82,8;212,3;
Södertälje;Enskild;127;50,8;87,4;91,3;251,8;87,4;91,3;251,8;123;49,2;81,3;92,7;237,5;81,3;92,7;237,5;
Sölvesborg;Samtliga;82;41,8;70,7;80,5;233,9;73,4;83,5;233,9;114;58,2;58,8;71,1;201,3;67,7;81,8;201,3;
Sölvesborg;Kommunal;82;41,8;70,7;80,5;233,9;73,4;83,5;233,9;114;58,2;58,8;71,1;201,3;67,7;81,8;201,3;
Tanum;Samtliga;61;45,9;85,2;90,2;245,7;88,1;~100;245,7;72;54,1;55,6;66,7;173,2;75,5;90,6;203,4;
Tanum;Kommunal;61;45,9;85,2;90,2;245,7;88,1;~100;245,7;72;54,1;55,6;66,7;173,2;75,5;90,6;203,4;
Tibro;Samtliga;62;50,0;69,4;80,6;211,1;68,3;80,0;209,6;62;50,0;67,7;75,8;197,3;75,0;83,9;204,0;
Tibro;Kommunal;62;50,0;69,4;80,6;211,1;68,3;80,0;209,6;62;50,0;67,7;75,8;197,3;75,0;83,9;204,0;
Tidaholm;Samtliga;74;51,4;75,7;87,8;225,9;76,7;87,7;226,0;70;48,6;70,0;78,6;194,3;71,0;79,7;197,1;
Tidaholm;Kommunal;74;51,4;75,7;87,8;225,9;76,7;87,7;226,0;70;48,6;70,0;78,6;194,3;71,0;79,7;197,1;
Tierp;Samtliga;73;37,1;71,2;83,6;226,2;72,2;84,7;226,2;124;62,9;52,4;75,0;177,1;57,5;82,3;191,1;
Tierp;Kommunal;73;37,1;71,2;83,6;226,2;72,2;84,7;226,2;124;62,9;52,4;75,0;177,1;57,5;82,3;191,1;
Timrå;Samtliga;99;47,1;71,7;80,8;214,0;72,4;81,6;216,0;111;52,9;68,5;81,1;201,0;71,7;84,9;201,0;
Timrå;Kommunal;99;47,1;71,7;80,8;214,0;72,4;81,6;216,0;111;52,9;68,5;81,1;201,0;71,7;84,9;201,0;
Tingsryd;Samtliga;69;45,1;81,2;87,0;240,5;83,6;89,6;243,4;84;54,9;47,6;61,9;168,5;61,5;80,0;178,0;
Tingsryd;Kommunal;46;38,7;73,9;82,6;232,6;77,3;86,4;236,8;73;61,3;42,5;58,9;163,4;57,4;79,6;174,5;
Tingsryd;Enskild;23;67,6;95,7;~100;256,7;95,7;~100;256,7;11;32,4;..;..;195,5;..;..;195,5;
Tjörn;Samtliga;71;43,0;80,3;84,5;225,9;83,8;88,2;232,0;94;57,0;69,1;76,6;212,3;79,3;87,8;214,8;
Tjörn;Kommunal;71;43,0;80,3;84,5;225,9;83,8;88,2;232,0;94;57,0;69,1;76,6;212,3;79,3;87,8;214,8;
Tomelilla;Samtliga;58;53,7;60,3;77,6;206,9;60,3;77,6;206,9;50;46,3;80,0;~100;211,2;80,0;~100;211,2;
Tomelilla;Kommunal;58;53,7;60,3;77,6;206,9;60,3;77,6;206,9;50;46,3;80,0;~100;211,2;80,0;~100;211,2;
Torsby;Samtliga;72;49,0;77,8;81,9;229,6;83,6;88,1;242,1;75;51,0;58,7;70,7;171,1;71,0;85,5;194,6;
Torsby;Kommunal;72;49,0;77,8;81,9;229,6;83,6;88,1;242,1;75;51,0;58,7;70,7;171,1;71,0;85,5;194,6;
Torsås;Samtliga;32;40,0;53,1;71,9;192,2;60,7;78,6;201,3;48;60,0;45,8;56,3;190,0;62,9;77,1;190,0;
Torsås;Kommunal;32;40,0;53,1;71,9;192,2;60,7;78,6;201,3;48;60,0;45,8;56,3;190,0;62,9;77,1;190,0;
Tranemo;Samtliga;78;50,3;70,5;83,3;217,5;72,4;85,5;220,2;77;49,7;54,5;74,0;194,2;56,8;77,0;199,8;
Tranemo;Kommunal;78;50,3;70,5;83,3;217,5;72,4;85,5;220,2;77;49,7;54,5;74,0;194,2;56,8;77,0;199,8;
Tranås;Samtliga;104;51,2;76,9;91,3;244,6;76,9;91,3;244,6;99;48,8;80,8;87,9;221,9;84,2;91,6;230,8;
Tranås;Kommunal;104;51,2;76,9;91,3;244,6;76,9;91,3;244,6;99;48,8;80,8;87,9;221,9;84,2;91,6;230,8;
Trelleborg;Samtliga;216;48,5;81,5;88,4;245,4;83,0;90,1;245,4;229;51,5;68,1;76,0;211,1;75,7;84,5;216,0;
Trelleborg;Kommunal;178;46,1;78,7;86,0;239,5;80,5;87,9;239,5;208;53,9;66,8;74,0;210,3;75,1;83,2;215,7;
Trelleborg;Enskild;38;64,4;94,7;100,0;272,0;94,7;100,0;272,0;21;35,6;81,0;~100;218,1;81,0;~100;218,1;
Trollhättan;Samtliga;279;44,2;76,0;84,6;237,2;76,3;84,9;237,5;352;55,8;75,3;85,5;219,5;78,1;88,8;221,3;
Trollhättan;Kommunal;227;44,1;71,8;81,9;232,4;72,1;82,3;232,7;288;55,9;72,2;83,7;214,7;75,5;87,6;216,9;
Trollhättan;Enskild;52;44,8;94,2;~100;258,2;94,2;~100;258,2;64;55,2;89,1;~100;240,1;89,1;~100;240,1;
Trosa;Samtliga;69;53,9;78,3;84,1;252,3;80,6;86,6;258,5;59;46,1;83,1;~100;235,9;83,1;~100;235,9;
Trosa;Kommunal;69;53,9;78,3;84,1;252,3;80,6;86,6;258,5;59;46,1;83,1;~100;235,9;83,1;~100;235,9;
Tyresö;Samtliga;246;42,6;84,1;92,7;258,1;85,2;93,8;259,0;332;57,4;72,9;85,5;215,5;78,1;91,3;224,2;
Tyresö;Kommunal;218;41,7;84,4;92,2;256,3;85,6;93,5;257,3;305;58,3;72,5;84,6;212,2;78,1;90,8;221,5;
Tyresö;Enskild;28;50,9;82,1;~100;271,6;82,1;~100;271,6;27;49,1;77,8;~100;251,6;77,8;~100;251,6;
Täby;Samtliga;520;44,7;90,4;94,8;272,6;90,7;95,2;272,6;644;55,3;84,5;87,4;246,4;91,0;94,1;248,5;
Täby;Kommunal;198;38,5;85,9;91,9;258,4;86,7;92,9;258,4;316;61,5;78,2;81,0;242,3;91,1;94,4;246,2;
Täby;Enskild;322;49,5;93,2;96,6;281,3;93,2;96,6;281,3;328;50,5;90,5;93,6;249,9;90,8;93,9;250,5;
Töreboda;Samtliga;61;49,2;60,7;70,5;204,5;66,1;76,8;212,4;63;50,8;57,1;69,8;176,5;66,7;81,5;200,0;
Töreboda;Kommunal;61;49,2;60,7;70,5;204,5;66,1;76,8;212,4;63;50,8;57,1;69,8;176,5;66,7;81,5;200,0;
Uddevalla;Samtliga;257;41,0;80,9;88,3;231,5;81,1;88,6;231,6;370;59,0;62,7;73,2;178,5;73,7;86,0;200,3;
Uddevalla;Kommunal;216;40,0;78,7;87,0;229,9;79,1;87,4;229,9;324;60,0;59,0;70,4;171,2;71,0;84,8;195,7;
Uddevalla;Enskild;41;47,1;92,7;~100;239,9;92,3;~100;241,1;46;52,9;89,1;~100;226,6;89,1;~100;226,6;
Ulricehamn;Samtliga;132;42,7;75,0;84,8;226,1;78,0;87,4;230,1;177;57,3;56,5;73,4;184,3;64,5;83,9;206,3;
Ulricehamn;Kommunal;132;42,7;75,0;84,8;226,1;78,0;87,4;230,1;177;57,3;56,5;73,4;184,3;64,5;83,9;206,3;
Umeå;Samtliga;567;48,1;84,8;92,2;254,0;85,7;93,2;255,7;611;51,9;75,1;82,3;216,4;81,1;88,8;219,6;
Umeå;Kommunal;430;45,8;83,3;90,9;251,3;84,4;92,2;253,6;509;54,2;74,7;81,1;214,2;81,9;89,0;218,1;
Umeå;Enskild;137;57,3;89,8;96,4;262,4;89,8;96,4;262,4;102;42,7;77,5;88,2;226,8;77,5;88,2;226,8;
Upplands Väsby;Samtliga;188;40,3;78,7;86,2;241,9;79,5;87,0;242,1;279;59,7;62,0;68,1;210,2;74,6;81,9;219,9;
Upplands Väsby;Kommunal;115;40,1;67,8;80,0;231,8;69,0;81,4;231,8;172;59,9;42,4;50,6;183,0;57,5;68,5;196,0;
Upplands Väsby;Enskild;73;40,6;95,9;~100;257,5;95,8;~100;258,2;107;59,4;93,5;~100;243,5;95,2;~100;246,9;
Upplands-Bro;Samtliga;128;43,2;77,3;86,7;235,0;79,2;88,8;236,8;168;56,8;62,5;74,4;217,3;75,0;89,3;227,4;
Upplands-Bro;Kommunal;122;43,4;80,3;86,9;237,8;82,4;89,1;239,6;159;56,6;61,0;73,0;212,2;74,0;88,5;222,7;
Upplands-Bro;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Uppsala;Samtliga;981;42,9;84,0;91,3;254,2;84,9;92,4;255,3;1 308;57,1;66,5;75,6;210,9;79,9;90,8;227,5;
Uppsala;Kommunal;620;39,3;81,8;89,8;247,4;83,3;91,5;249,2;958;60,7;58,9;68,8;196,2;76,3;89,2;218,6;
Uppsala;Enskild;361;50,8;87,8;93,9;265,6;87,8;93,9;265,6;350;49,2;87,4;94,3;246,2;87,4;94,3;246,2;
Uppvidinge;Samtliga;54;58,1;68,5;77,8;220,1;69,8;77,4;221,4;39;41,9;66,7;82,1;196,8;66,7;82,1;196,8;
Uppvidinge;Kommunal;54;58,1;68,5;77,8;220,1;69,8;77,4;221,4;39;41,9;66,7;82,1;196,8;66,7;82,1;196,8;
Vadstena;Samtliga;28;40,0;92,9;100,0;256,0;92,9;100,0;256,0;42;60,0;88,1;~100;228,8;88,1;~100;228,8;
Vadstena;Kommunal;28;40,0;92,9;100,0;256,0;92,9;100,0;256,0;42;60,0;88,1;~100;228,8;88,1;~100;228,8;
Vaggeryd;Samtliga;62;48,8;77,4;82,3;235,4;84,2;89,5;243,3;65;51,2;81,5;87,7;205,2;82,8;89,1;208,2;
Vaggeryd;Kommunal;62;48,8;77,4;82,3;235,4;84,2;89,5;243,3;65;51,2;81,5;87,7;205,2;82,8;89,1;208,2;
Valdemarsvik;Samtliga;42;45,7;71,4;83,3;233,8;73,2;85,4;233,8;50;54,3;44,0;54,0;189,9;56,8;70,3;197,7;
Valdemarsvik;Kommunal;42;45,7;71,4;83,3;233,8;73,2;85,4;233,8;50;54,3;44,0;54,0;189,9;56,8;70,3;197,7;
Vallentuna;Samtliga;165;49,1;83,0;92,1;243,2;83,0;92,1;243,2;171;50,9;77,2;90,1;214,3;77,6;90,6;215,2;
Vallentuna;Kommunal;130;51,6;85,4;94,6;248,3;85,4;94,6;248,3;122;48,4;74,6;91,0;213,2;74,6;91,0;213,2;
Vallentuna;Enskild;35;41,7;74,3;82,9;224,0;74,3;82,9;224,0;49;58,3;83,7;87,8;216,9;85,4;89,6;220,2;
Vansbro;Samtliga;33;53,2;87,9;~100;252,4;87,9;~100;252,4;29;46,8;65,5;72,4;195,2;65,5;72,4;195,2;
Vansbro;Kommunal;33;53,2;87,9;~100;252,4;87,9;~100;252,4;29;46,8;65,5;72,4;195,2;65,5;72,4;195,2;
Vara;Samtliga;69;45,1;72,5;87,0;230,8;72,5;87,0;230,8;84;54,9;73,8;82,1;204,7;80,5;89,6;211,8;
Vara;Kommunal;69;45,1;72,5;87,0;230,8;72,5;87,0;230,8;84;54,9;73,8;82,1;204,7;80,5;89,6;211,8;
Varberg;Samtliga;265;45,6;83,8;90,9;242,3;84,1;91,3;243,1;316;54,4;81,0;87,7;216,8;82,1;88,8;218,8;
Varberg;Kommunal;252;45,2;83,3;90,9;242,6;83,7;91,2;243,5;306;54,8;80,7;87,6;216,1;81,8;88,7;218,1;
Varberg;Enskild;13;56,5;92,3;~100;235,8;92,3;~100;235,8;10;43,5;..;..;239,0;..;..;239,0;
Vaxholm;Samtliga;50;52,1;88,0;90,0;257,0;88,0;90,0;257,0;46;47,9;84,8;~100;221,1;86,7;~100;221,1;
Vaxholm;Kommunal;50;52,1;88,0;90,0;257,0;88,0;90,0;257,0;46;47,9;84,8;~100;221,1;86,7;~100;221,1;
Vellinge;Samtliga;209;47,1;92,8;95,7;269,1;93,3;96,2;270,4;235;52,9;82,6;88,1;240,0;91,1;97,2;248,6;
Vellinge;Kommunal;139;44,6;94,2;~100;268,6;94,9;~100;270,5;173;55,4;78,0;84,4;237,0;89,4;96,7;249,0;
Vellinge;Enskild;70;53,0;90,0;92,9;270,0;90,0;92,9;270,0;62;47,0;95,2;~100;247,7;95,2;~100;247,7;
Vetlanda;Samtliga;142;48,0;78,9;83,8;221,2;81,2;86,2;227,1;154;52,0;57,8;70,1;170,0;68,5;83,1;193,7;
Vetlanda;Kommunal;138;47,8;79,7;84,1;222,3;82,1;86,6;228,4;151;52,2;57,6;70,2;169,6;68,5;83,5;193,6;
Vetlanda;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Vilhelmina;Samtliga;40;51,3;87,5;~100;234,9;89,7;~100;240,5;38;48,7;76,3;76,3;219,0;87,9;~100;219,0;
Vilhelmina;Kommunal;37;52,9;86,5;~100;235,6;88,9;~100;241,7;33;47,1;72,7;72,7;208,6;85,7;~100;208,6;
Vilhelmina;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Vimmerby;Samtliga;81;48,2;74,1;80,2;219,1;74,1;80,2;219,1;87;51,8;75,9;88,5;206,2;76,7;89,5;208,1;
Vimmerby;Kommunal;81;48,2;74,1;80,2;219,1;74,1;80,2;219,1;87;51,8;75,9;88,5;206,2;76,7;89,5;208,1;
Vindeln;Samtliga;25;61,0;68,0;~100;218,9;68,0;~100;218,9;16;39,0;..;~100;176,7;..;~100;176,7;
Vindeln;Kommunal;25;61,0;68,0;~100;218,9;68,0;~100;218,9;16;39,0;..;~100;176,7;..;~100;176,7;
Vingåker;Samtliga;47;44,3;66,0;78,7;209,4;67,4;78,3;209,0;59;55,7;42,4;57,6;146,3;61,5;79,5;167,4;
Vingåker;Kommunal;47;44,3;66,0;78,7;209,4;67,4;78,3;209,0;59;55,7;42,4;57,6;146,3;61,5;79,5;167,4;
Vårgårda;Samtliga;61;54,5;85,2;90,2;241,3;85,2;90,2;241,3;51;45,5;64,7;68,6;181,3;66,0;70,0;184,8;
Vårgårda;Kommunal;61;54,5;85,2;90,2;241,3;85,2;90,2;241,3;51;45,5;64,7;68,6;181,3;66,0;70,0;184,8;
Vänersborg;Samtliga;197;48,0;78,7;86,8;234,0;79,1;86,7;234,3;213;52,0;73,2;80,3;210,3;74,3;81,4;210,3;
Vänersborg;Kommunal;163;48,2;76,1;85,9;228,2;76,5;85,8;228,6;175;51,8;69,7;77,7;202,0;70,9;79,1;202,0;
Vänersborg;Enskild;34;47,2;91,2;~100;262,2;91,2;~100;262,2;38;52,8;89,5;~100;248,0;89,5;~100;248,0;
Vännäs;Samtliga;41;46,6;75,6;85,4;236,8;75,6;85,4;236,8;47;53,4;53,2;74,5;179,2;53,2;74,5;179,2;
Vännäs;Kommunal;41;46,6;75,6;85,4;236,8;75,6;85,4;236,8;47;53,4;53,2;74,5;179,2;53,2;74,5;179,2;
Värmdö;Samtliga;180;44,0;85,0;91,1;244,0;86,4;92,1;246,6;229;56,0;72,5;80,3;212,0;79,0;87,6;227,8;
Värmdö;Kommunal;154;43,1;82,5;89,6;239,8;84,1;90,7;242,8;203;56,9;69,0;77,8;206,5;76,1;85,9;224,0;
Värmdö;Enskild;26;50,0;100,0;100,0;268,8;100,0;100,0;268,8;26;50,0;100,0;100,0;254,0;100,0;100,0;254,0;
Värnamo;Samtliga;176;46,7;77,8;86,4;230,5;79,2;87,9;233,0;201;53,3;80,1;84,6;206,0;83,9;88,5;214,6;
Värnamo;Kommunal;176;46,7;77,8;86,4;230,5;79,2;87,9;233,0;201;53,3;80,1;84,6;206,0;83,9;88,5;214,6;
Västervik;Samtliga;208;47,4;72,1;80,8;230,0;73,9;82,8;235,0;231;52,6;61,5;68,8;205,5;73,6;82,4;216,1;
Västervik;Kommunal;183;47,4;74,9;82,0;234,7;77,0;84,3;240,6;203;52,6;60,1;66,5;202,6;73,9;81,8;214,8;
Västervik;Enskild;25;47,2;52,0;72,0;194,6;52,0;72,0;194,6;28;52,8;71,4;~100;223,6;71,4;~100;223,6;
Västerås;Samtliga;738;44,8;76,6;85,2;238,3;78,8;87,6;243,1;910;55,2;57,7;71,2;189,2;66,7;82,3;211,5;
Västerås;Kommunal;479;40,2;71,4;80,8;227,4;74,7;84,3;234,6;713;59,8;53,7;67,3;177,8;64,7;81,1;205,6;
Västerås;Enskild;259;56,8;86,1;93,4;258,0;86,1;93,4;258,0;197;43,2;72,1;85,3;229,2;72,8;86,2;229,2;
Växjö;Samtliga;456;47,4;80,9;86,4;238,7;82,1;87,7;239,4;506;52,6;65,4;74,3;199,9;73,4;83,4;205,0;
Växjö;Kommunal;375;46,7;79,5;85,1;234,7;80,7;86,4;235,2;428;53,3;62,9;71,0;195,8;72,1;81,5;201,9;
Växjö;Enskild;81;50,9;87,7;92,6;256,9;88,8;93,8;258,3;78;49,1;79,5;92,3;219,7;79,5;92,3;219,7;
Ydre;Samtliga;17;44,7;88,2;~100;256,6;93,8;100,0;256,6;21;55,3;76,2;76,2;225,6;76,2;76,2;225,6;
Ydre;Kommunal;17;44,7;88,2;~100;256,6;93,8;100,0;256,6;21;55,3;76,2;76,2;225,6;76,2;76,2;225,6;
Ystad;Samtliga;171;50,7;88,3;92,4;249,7;88,3;92,4;249,7;166;49,3;86,7;92,8;232,5;86,7;92,8;232,5;
Ystad;Kommunal;110;44,7;88,2;92,7;246,6;88,2;92,7;246,6;136;55,3;83,8;91,2;229,4;83,8;91,2;229,4;
Ystad;Enskild;61;67,0;88,5;91,8;255,1;88,5;91,8;255,1;30;33,0;100,0;100,0;246,4;100,0;100,0;246,4;
Åmål;Samtliga;63;43,2;74,6;87,3;237,4;75,8;88,7;239,8;83;56,8;57,8;75,9;191,8;57,8;75,9;191,8;
Åmål;Kommunal;63;43,2;74,6;87,3;237,4;75,8;88,7;239,8;83;56,8;57,8;75,9;191,8;57,8;75,9;191,8;
Ånge;Samtliga;46;40,4;80,4;80,4;239,8;84,1;84,1;241,1;68;59,6;58,8;61,8;192,1;75,5;79,2;203,8;
Ånge;Kommunal;43;40,2;79,1;79,1;242,1;82,9;82,9;243,5;64;59,8;56,3;59,4;189,9;73,5;77,6;202,4;
Ånge;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Åre;Samtliga;58;55,8;77,6;89,7;224,2;78,9;91,2;227,9;46;44,2;67,4;84,8;202,7;70,5;88,6;208,9;
Åre;Kommunal;58;55,8;77,6;89,7;224,2;78,9;91,2;227,9;46;44,2;67,4;84,8;202,7;70,5;88,6;208,9;
Årjäng;Samtliga;53;45,7;79,2;86,8;227,4;79,2;86,8;227,4;63;54,3;66,7;76,2;197,1;72,4;82,8;197,1;
Årjäng;Kommunal;53;45,7;79,2;86,8;227,4;79,2;86,8;227,4;63;54,3;66,7;76,2;197,1;72,4;82,8;197,1;
Åsele;Samtliga;18;54,5;77,8;~100;216,5;77,8;~100;216,5;15;45,5;86,7;~100;218,8;86,7;~100;218,8;
Åsele;Kommunal;18;54,5;77,8;~100;216,5;77,8;~100;216,5;15;45,5;86,7;~100;218,8;86,7;~100;218,8;
Åstorp;Samtliga;78;38,2;69,2;80,8;213,7;69,2;80,8;213,7;126;61,8;43,7;55,6;174,4;56,1;71,4;182,2;
Åstorp;Kommunal;78;38,2;69,2;80,8;213,7;69,2;80,8;213,7;126;61,8;43,7;55,6;174,4;56,1;71,4;182,2;
Åtvidaberg;Samtliga;58;45,7;84,5;87,9;225,5;86,0;89,5;228,1;69;54,3;63,8;87,0;200,2;63,8;87,0;200,2;
Åtvidaberg;Kommunal;58;45,7;84,5;87,9;225,5;86,0;89,5;228,1;69;54,3;63,8;87,0;200,2;63,8;87,0;200,2;
Älmhult;Samtliga;81;49,1;85,9;91,0;234,8;85,9;91,0;234,8;84;50,9;63,1;79,8;189,7;63,1;79,8;189,7;
Älmhult;Kommunal;71;52,6;83,8;89,7;229,7;83,8;89,7;229,7;64;47,4;65,6;78,1;185,6;65,6;78,1;185,6;
Älmhult;Enskild;10;33,3;100,0;100,0;269,3;100,0;100,0;269,3;20;66,7;55,0;~100;202,8;55,0;~100;202,8;
Älvdalen;Samtliga;39;54,2;84,6;84,6;237,4;84,6;84,6;237,4;33;45,8;84,8;~100;204,3;84,8;~100;204,3;
Älvdalen;Kommunal;39;54,2;84,6;84,6;237,4;84,6;84,6;237,4;33;45,8;84,8;~100;204,3;84,8;~100;204,3;
Älvkarleby;Samtliga;32;34,8;65,6;~100;208,7;65,6;~100;208,7;60;65,2;60,0;73,3;176,2;63,2;77,2;182,6;
Älvkarleby;Kommunal;21;36,2;66,7;~100;197,0;66,7;~100;197,0;37;63,8;54,1;70,3;172,2;57,1;74,3;179,5;
Älvkarleby;Enskild;11;32,4;..;~100;230,0;..;~100;230,0;23;67,6;69,6;78,3;182,5;72,7;~100;187,6;
Älvsbyn;Samtliga;48;48,0;72,9;85,4;218,2;76,1;89,1;218,2;52;52,0;53,8;59,6;198,1;67,5;75,0;198,1;
Älvsbyn;Kommunal;48;48,0;72,9;85,4;218,2;76,1;89,1;218,2;52;52,0;53,8;59,6;198,1;67,5;75,0;198,1;
Ängelholm;Samtliga;214;47,5;84,1;89,7;247,6;86,1;91,8;248,5;237;52,5;74,3;81,4;203,1;84,6;92,8;215,7;
Ängelholm;Kommunal;214;47,5;84,1;89,7;247,6;86,1;91,8;248,5;237;52,5;74,3;81,4;203,1;84,6;92,8;215,7;
Öckerö;Samtliga;62;47,0;87,1;~100;252,8;88,5;~100;254,5;70;53,0;74,3;91,4;223,8;74,3;91,4;223,8;
Öckerö;Kommunal;50;44,2;90,0;~100;256,8;90,0;~100;256,8;63;55,8;76,2;~100;229,1;76,2;~100;229,1;
Öckerö;Enskild;..;..;..;~100;236,5;..;~100;244,5;..;..;..;..;..;..;..;..;
Ödeshög;Samtliga;29;50,9;72,4;~100;223,1;72,4;~100;223,1;28;49,1;85,7;~100;226,7;85,7;~100;226,7;
Ödeshög;Kommunal;29;50,9;72,4;~100;223,1;72,4;~100;223,1;28;49,1;85,7;~100;226,7;85,7;~100;226,7;
Örebro;Samtliga;791;48,7;80,5;87,4;236,3;80,8;87,7;236,8;832;51,3;76,7;84,6;215,3;77,2;85,2;216,4;
Örebro;Kommunal;542;45,6;76,2;84,1;225,1;76,5;84,5;225,7;647;54,4;72,6;81,8;206,7;73,3;82,5;208,0;
Örebro;Enskild;249;57,4;90,0;94,4;260,7;90,0;94,4;260,7;185;42,6;90,8;94,6;244,9;90,8;94,6;244,9;
Örkelljunga;Samtliga;49;39,2;65,3;83,7;210,7;68,1;87,2;218,7;76;60,8;50,0;64,5;176,4;61,3;79,0;197,4;
Örkelljunga;Kommunal;47;40,5;66,0;83,0;209,5;68,9;86,7;217,7;69;59,5;47,8;62,3;169,3;60,0;78,2;192,0;
Örkelljunga;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Örnsköldsvik;Samtliga;281;51,7;87,2;91,5;241,8;87,8;92,1;242,2;262;48,3;75,2;84,4;209,7;78,5;88,0;213,2;
Örnsköldsvik;Kommunal;268;51,0;88,8;92,9;244,4;89,5;93,6;244,8;258;49,0;76,0;84,1;210,4;79,4;87,9;213,9;
Örnsköldsvik;Enskild;..;..;..;..;189,2;..;..;189,2;..;..;..;..;..;..;..;..;
