Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2003/04

;;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Typ av huvudman;Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig nat. prog.;Genomsnittligt meritvärde (16);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig nat. prog.;Genomsnittligt meritvärde (16);
Härnösand;Samtliga;168;54,7;85,7;96,4;207,9;139;45,3;77,7;92,1;189,6;
Härnösand;Kommunal;168;54,7;85,7;96,4;207,9;139;45,3;77,7;92,1;189,6;
Härryda;Samtliga;239;51,0;75,7;93,3;218,3;230;49,0;75,2;90,4;200,8;
Härryda;Kommunal;229;50,2;74,7;93,0;217,3;227;49,8;75,8;90,7;201,1;
Härryda;Enskild;..;..;100,0;100,0;241,5;..;..;..;..;..;
Hässleholm;Samtliga;366;49,9;81,7;92,6;210,1;368;50,1;71,2;87,8;185,8;
Hässleholm;Kommunal;366;49,9;81,7;92,6;210,1;368;50,1;71,2;87,8;185,8;
Höganäs;Samtliga;130;46,6;87,7;93,1;229,7;149;53,4;78,5;94,0;201,9;
Höganäs;Kommunal;124;46,6;87,1;92,7;228,8;142;53,4;78,2;94,4;201,5;
Höganäs;Enskild;..;..;..;..;..;..;..;..;..;..;
Högsby;Samtliga;42;38,5;73,8;88,1;203,8;67;61,5;56,7;74,6;164,0;
Högsby;Kommunal;42;38,5;73,8;88,1;203,8;67;61,5;56,7;74,6;164,0;
Hörby;Samtliga;94;47,5;87,2;94,7;211,5;104;52,5;73,1;90,4;192,2;
Hörby;Kommunal;94;47,5;87,2;94,7;211,5;104;52,5;73,1;90,4;192,2;
Höör;Samtliga;102;48,1;66,7;83,8;196,3;110;51,9;57,1;87,6;183,5;
Höör;Kommunal;99;48,5;66,7;83,8;196,3;105;51,5;57,1;87,6;183,5;
Höör;Enskild;..;..;.;.;.;..;..;.;.;.;
Jokkmokk;Samtliga;38;53,5;76,3;~100;237,0;33;46,5;84,8;~100;203,5;
Jokkmokk;Kommunal;38;53,5;76,3;~100;237,0;33;46,5;84,8;~100;203,5;
Järfälla;Samtliga;375;47,8;79,2;93,6;226,2;409;52,2;67,7;87,8;198,4;
Järfälla;Kommunal;310;48,3;79,7;92,9;224,5;332;51,7;66,9;87,0;196,9;
Järfälla;Enskild;65;45,8;76,9;~100;234,3;77;54,2;71,4;90,9;204,9;
Jönköping;Samtliga;793;49,4;79,9;90,5;216,8;813;50,6;70,6;85,5;196,7;
Jönköping;Kommunal;733;49,3;79,3;89,9;215,6;753;50,7;69,3;84,9;194,8;
Jönköping;Enskild;60;50,0;88,3;~100;231,4;60;50,0;86,7;~100;220,1;
Kalix;Samtliga;126;53,4;70,6;88,1;204,3;110;46,6;57,3;87,3;175,9;
Kalix;Kommunal;126;53,4;70,6;88,1;204,3;110;46,6;57,3;87,3;175,9;
Kalmar;Samtliga;398;50,8;86,0;95,3;222,3;386;49,2;81,0;91,5;201,0;
Kalmar;Kommunal;385;50,5;86,0;95,3;222,3;378;49,5;81,0;91,5;201,0;
Kalmar;Enskild;..;..;.;.;.;..;..;.;.;.;
Karlsborg;Samtliga;46;48,4;93,5;~100;230,0;49;51,6;85,7;~100;188,4;
Karlsborg;Kommunal;46;48,4;93,5;~100;230,0;49;51,6;85,7;~100;188,4;
Karlshamn;Samtliga;169;45,9;82,8;95,3;221,6;199;54,1;81,9;90,5;201,6;
Karlshamn;Kommunal;169;45,9;82,8;95,3;221,6;199;54,1;81,9;90,5;201,6;
Karlskoga;Samtliga;205;53,1;78,0;89,8;208,8;181;46,9;64,1;82,3;171,8;
Karlskoga;Kommunal;205;53,1;78,0;89,8;208,8;181;46,9;64,1;82,3;171,8;
Karlskrona;Samtliga;325;45,0;79,7;91,4;211,5;398;55,0;73,4;89,2;193,8;
Karlskrona;Kommunal;288;44,9;78,8;91,3;210,6;354;55,1;73,2;89,3;192,0;
Karlskrona;Enskild;37;45,7;86,5;~100;218,1;44;54,3;75,0;88,6;207,5;
Karlstad;Samtliga;434;46,6;84,8;93,1;223,5;497;53,4;83,7;93,0;199,3;
Karlstad;Kommunal;434;46,6;84,8;93,1;223,5;497;53,4;83,7;93,0;199,3;
Katrineholm;Samtliga;217;48,8;80,6;90,3;217,5;228;51,2;67,5;84,2;188,0;
Katrineholm;Kommunal;217;48,8;80,6;90,3;217,5;228;51,2;67,5;84,2;188,0;
Kil;Samtliga;94;53,7;81,9;92,6;228,7;81;46,3;67,9;92,6;200,1;
Kil;Kommunal;94;53,7;81,9;92,6;228,7;81;46,3;67,9;92,6;200,1;
Kinda;Samtliga;66;41,5;83,3;90,9;212,8;93;58,5;62,4;90,3;194,0;
Kinda;Kommunal;66;41,5;83,3;90,9;212,8;93;58,5;62,4;90,3;194,0;
Kiruna;Samtliga;162;48,6;79,0;90,7;217,7;171;51,4;67,3;79,5;188,5;
Kiruna;Kommunal;162;48,6;79,0;90,7;217,7;171;51,4;67,3;79,5;188,5;
Klippan;Samtliga;112;50,7;80,4;87,5;213,4;109;49,3;67,9;80,7;185,0;
Klippan;Kommunal;112;50,7;80,4;87,5;213,4;109;49,3;67,9;80,7;185,0;
Knivsta;Samtliga;95;47,7;82,1;93,7;225,6;104;52,3;72,1;87,5;195,9;
Knivsta;Kommunal;85;48,6;80,0;92,9;222,4;90;51,4;70,0;85,6;195,9;
Knivsta;Enskild;10;41,7;100,0;100,0;253,5;14;58,3;85,7;100,0;196,1;
Kramfors;Samtliga;128;50,8;88,3;96,1;222,0;124;49,2;74,2;87,9;184,0;
Kramfors;Kommunal;128;50,8;88,3;96,1;222,0;124;49,2;74,2;87,9;184,0;
Kristianstad;Samtliga;505;49,6;83,8;93,3;216,3;514;50,4;70,6;88,9;186,3;
Kristianstad;Kommunal;485;49,7;83,7;93,2;215,1;491;50,3;70,5;88,8;186,4;
Kristianstad;Enskild;20;46,5;85,0;~100;243,5;23;53,5;73,9;~100;185,0;
Kristinehamn;Samtliga;153;51,3;81,7;93,5;215,3;145;48,7;73,1;87,6;193,7;
Kristinehamn;Kommunal;153;51,3;81,7;93,5;215,3;145;48,7;73,1;87,6;193,7;
Krokom;Samtliga;117;46,4;86,3;92,3;210,2;135;53,6;73,3;89,6;195,9;
