Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2017/18

;;Samtliga elever;Samtliga elever;Samtliga elever;Samtliga elever;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Typ av huvudman;Antal elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);
Götene;Samtliga;145;84,8;88,3;220,7;70;48,3;85,7;90,0;233,4;75;51,7;84,0;86,7;208,9;
Götene;Kommunal;145;84,8;88,3;220,7;70;48,3;85,7;90,0;233,4;75;51,7;84,0;86,7;208,9;
Habo;Samtliga;135;68,1;80,7;214,2;57;42,2;80,7;87,7;246,4;78;57,8;59,0;75,6;190,4;
Habo;Kommunal;135;68,1;80,7;214,2;57;42,2;80,7;87,7;246,4;78;57,8;59,0;75,6;190,4;
Hagfors;Samtliga;114;85,1;88,6;231,3;54;47,4;85,2;90,7;237,5;60;52,6;85,0;86,7;225,4;
Hagfors;Kommunal;114;85,1;88,6;231,3;54;47,4;85,2;90,7;237,5;60;52,6;85,0;86,7;225,4;
Hallsberg;Samtliga;168;66,1;81,5;203,6;77;45,8;63,6;77,9;210,6;91;54,2;68,1;84,6;197,7;
Hallsberg;Kommunal;168;66,1;81,5;203,6;77;45,8;63,6;77,9;210,6;91;54,2;68,1;84,6;197,7;
Hallstahammar;Samtliga;163;63,2;79,8;208,5;75;46,0;76,0;86,7;234,9;88;54,0;52,3;73,9;186,1;
Hallstahammar;Kommunal;163;63,2;79,8;208,5;75;46,0;76,0;86,7;234,9;88;54,0;52,3;73,9;186,1;
Halmstad;Samtliga;1 050;75,2;83,5;230,8;497;47,3;80,1;86,5;249,5;553;52,7;70,9;80,8;213,9;
Halmstad;Kommunal;904;73,5;82,2;225,4;411;45,5;78,3;85,2;243,6;493;54,5;69,4;79,7;210,1;
Halmstad;Enskild;146;86,3;91,8;264,3;86;58,9;88,4;93,0;277,9;60;41,1;83,3;90,0;245,0;
Hammarö;Samtliga;177;91,5;93,2;248,7;94;53,1;96,8;~100;269,1;83;46,9;85,5;88,0;225,6;
Hammarö;Kommunal;177;91,5;93,2;248,7;94;53,1;96,8;~100;269,1;83;46,9;85,5;88,0;225,6;
Haninge;Samtliga;897;70,1;83,6;217,4;432;48,2;72,0;86,3;231,8;465;51,8;68,4;81,1;204,1;
Haninge;Kommunal;742;69,5;83,0;214,1;347;46,8;70,9;85,3;228,7;395;53,2;68,4;81,0;201,4;
Haninge;Enskild;155;72,9;86,5;233,3;85;54,8;76,5;90,6;244,0;70;45,2;68,6;81,4;220,0;
Haparanda;Samtliga;110;69,1;80,9;207,1;57;51,8;78,9;84,2;233,6;53;48,2;58,5;77,4;177,9;
Haparanda;Kommunal;110;69,1;80,9;207,1;57;51,8;78,9;84,2;233,6;53;48,2;58,5;77,4;177,9;
Heby;Samtliga;141;63,1;83,7;209,4;67;47,5;76,1;91,0;233,2;74;52,5;51,4;77,0;187,6;
Heby;Kommunal;141;63,1;83,7;209,4;67;47,5;76,1;91,0;233,2;74;52,5;51,4;77,0;187,6;
Hedemora;Samtliga;193;68,4;81,9;206,5;95;49,2;72,6;84,2;218,9;98;50,8;64,3;79,6;194,4;
Hedemora;Kommunal;141;66,7;78,0;200,5;70;49,6;68,6;80,0;211,5;71;50,4;64,8;76,1;189,5;
Hedemora;Enskild;52;73,1;~100;222,5;25;48,1;84,0;~100;239,3;27;51,9;63,0;~100;206,9;
